% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
   29  0.86020653E-02 -0.65052130E-18  0.48450285E-18 -0.16342483E-12 -0.53295487E-13  0.38521295E-13  
   30  0.91233822E-02 -0.48111471E-18  0.43029274E-18 -0.17053026E-12 -0.23897163E-13  0.26484363E-13  
   31  0.96446990E-02 -0.62341625E-18  0.75555339E-18 -0.17763568E-12 -0.40340306E-13  0.67417341E-13  
   32  0.10166016E-01 -0.45739779E-18  0.76232965E-18 -0.34106051E-12 -0.13086455E-13  0.60537627E-13  
   33  0.10687333E-01 -0.69456702E-18  0.11858461E-17 -0.30553338E-12 -0.43991555E-13  0.11153975E-12  
   34  0.11208650E-01 -0.39302329E-18  0.18363674E-17 -0.48316906E-12  0.21366270E-14  0.18841371E-12  
   35  0.11729967E-01 -0.67762636E-18  0.19176826E-17 -0.44764192E-12 -0.37197837E-13  0.17945269E-12  
   36  0.12251283E-01 -0.78604658E-18  0.17008422E-17 -0.79580786E-12 -0.48263656E-13  0.13086939E-12  
   37  0.12772600E-01 -0.13891340E-17  0.14840017E-17 -0.12718715E-11 -0.12670579E-12  0.87595295E-13  
   38  0.13293917E-01 -0.13349239E-17  0.15653169E-17 -0.10444978E-11 -0.10661647E-12  0.90168602E-13  
   39  0.13815234E-01 -0.14975543E-17  0.22971534E-17 -0.10729195E-11 -0.11887249E-12  0.18309847E-12  
   40  0.14336551E-01 -0.92834811E-18  0.24597837E-17 -0.14495072E-11 -0.28335795E-13  0.18839516E-12  
   41  0.14857868E-01 -0.10842022E-17  0.26224140E-17 -0.14352963E-11 -0.47465329E-13  0.19363746E-12  
   42  0.15379185E-01 -0.16263033E-17  0.32458303E-17 -0.14495072E-11 -0.11900042E-12  0.26329548E-12  
   43  0.15900502E-01 -0.61663999E-18  0.36253010E-17 -0.15063506E-11  0.33108079E-13  0.29312856E-12  
   44  0.16421818E-01 -0.20328791E-19  0.30696474E-17 -0.93791641E-12  0.11399856E-12  0.18959853E-12  
   45  0.16943135E-01 -0.37947076E-18  0.32729353E-17 -0.15631940E-11  0.53744531E-13  0.20206922E-12  
   46  0.17464452E-01 -0.88091427E-19  0.29612272E-17 -0.85265128E-12  0.90347263E-13  0.14125484E-12  
   47  0.17985769E-01 -0.15585406E-18  0.29273459E-17 -0.12789769E-11  0.73383810E-13  0.12491272E-12  
   48  0.18507086E-01  0.36591823E-18  0.39234566E-17 -0.82422957E-12  0.14132672E-12  0.25584028E-12  
   49  0.19028403E-01  0.46756219E-18  0.29612272E-17 -0.66791017E-12  0.14460588E-12  0.99317105E-13  
   50  0.19549720E-01  0.54210109E-18  0.35507621E-17 -0.82422957E-12  0.14401195E-12  0.17533032E-12  
   51  0.20071037E-01 -0.27105054E-19  0.35710909E-17 -0.71054274E-12  0.52158953E-13  0.16491638E-12  
   52  0.20592354E-01  0.15585406E-18  0.35304333E-17 -0.46895821E-12  0.74321276E-13  0.14683636E-12  
   53  0.21113670E-01  0.17618285E-18  0.28731358E-17 -0.59685590E-12  0.71777471E-13  0.42366201E-13  
   54  0.21634987E-01  0.54210109E-19  0.39166803E-17 -0.51159077E-12  0.49197226E-13  0.18830836E-12  
   55  0.22156304E-01  0.90801932E-18  0.38218127E-17 -0.96633812E-12  0.16777800E-12  0.16142272E-12  
   56  0.22677621E-01  0.10164395E-17  0.42419410E-17 -0.72475359E-12  0.17162405E-12  0.21032949E-12  
   57  0.23198938E-01  0.67762636E-19  0.36727349E-17 -0.10658141E-11  0.23916658E-13  0.11435772E-12  
   58  0.23720255E-01  0.13552527E-18  0.42825986E-17 -0.11226575E-11  0.32029143E-13  0.19416407E-12  
   59  0.24241572E-01  0.27105054E-19  0.38353652E-17 -0.28421709E-12  0.14331872E-13  0.11705097E-12  
   60  0.24762889E-01  0.65052130E-18  0.43774663E-17 -0.52580162E-12  0.10304978E-12  0.18737353E-12  
   61  0.25284205E-01  0.12061749E-17  0.47298320E-17 -0.34106051E-12  0.17642345E-12  0.22606430E-12  
   62  0.25805522E-01  0.58275867E-18  0.33745793E-17 -0.11084467E-11  0.75419230E-13  0.16452622E-13  
   63  0.26326839E-01  0.13145951E-17  0.44587814E-17 -0.83844043E-12  0.17629124E-12  0.17183120E-12  
   64  0.26848156E-01  0.13552527E-18  0.38353652E-17 -0.35527137E-12 -0.47906591E-14  0.71258419E-13  
   65  0.27369473E-01  0.16263033E-18  0.47569370E-17 -0.14210855E-13 -0.58308517E-15  0.20014430E-12  
   66  0.27890790E-01  0.24394549E-18  0.48111471E-17 -0.75317530E-12  0.11215334E-13  0.19604537E-12  
   67  0.28412107E-01  0.85380921E-18  0.34829995E-17 -0.41211479E-12  0.98861448E-13 -0.77976710E-14  
   68  0.28933424E-01  0.82670416E-18  0.46756219E-17 -0.27000624E-12  0.89198320E-13  0.16549122E-12  
   69  0.29454740E-01  0.12874901E-17  0.55971937E-17 -0.49737992E-12  0.15092851E-12  0.28969001E-12  
   70  0.29976057E-01  0.78604658E-18  0.54887735E-17 -0.83844043E-12  0.69618515E-13  0.25759943E-12  
   71  0.30497374E-01  0.93512437E-18  0.44587814E-17 -0.45474735E-12  0.87398689E-13  0.93617450E-13  
   72  0.31018691E-01  0.86736174E-18  0.58411392E-17 -0.52580162E-12  0.72742807E-13  0.28945275E-12  
   73  0.31540008E-01  0.71828394E-18  0.39708905E-17 -0.10231815E-11  0.47105543E-13  0.16287387E-14  
   74  0.32061325E-01  0.42012834E-18  0.63832403E-17 -0.19895197E-12  0.11692814E-14  0.35279483E-12  
   75  0.32582642E-01  0.15720932E-17  0.59495594E-17 -0.95212727E-12  0.16896064E-12  0.27094629E-12  
   76  0.33103959E-01  0.36591823E-18  0.62748201E-17 -0.13073986E-11 -0.15737576E-13  0.30422344E-12  
   77  0.33625276E-01  0.50144350E-18  0.68440262E-17 -0.14210855E-11  0.48487653E-14  0.37158491E-12  
   78  0.34146592E-01  0.82670416E-18  0.77655981E-17 -0.23590019E-11  0.52092146E-13  0.48720801E-12  
   79  0.34667909E-01  0.11384123E-17  0.82670416E-17 -0.27569058E-11  0.95010874E-13  0.53594368E-12  
   80  0.35189226E-01  0.18973538E-18  0.87684851E-17 -0.40785153E-11 -0.48405592E-13  0.58259260E-12  
   81  0.35710543E-01  0.89446679E-18  0.10828469E-16 -0.43343107E-11  0.57064424E-13  0.85529493E-12  
   82  0.36231860E-01  0.10706496E-17  0.11560306E-16 -0.55848659E-11  0.80079878E-13  0.92085786E-12  
   83  0.36753177E-01  0.69117888E-18  0.11722936E-16 -0.54569682E-11  0.20657513E-13  0.90044701E-12  
   84  0.37274494E-01  0.42012834E-18  0.12265037E-16 -0.56274985E-11 -0.20043348E-13  0.93712844E-12  
   85  0.37795811E-01  0.27105054E-18  0.14297916E-16 -0.63380412E-11 -0.40960415E-13  0.11911931E-11  
   86  0.38317127E-01  0.75894152E-18  0.14352126E-16 -0.75885964E-11  0.32516392E-13  0.11438355E-11  
   87  0.38838444E-01  0.25749802E-18  0.15070410E-16 -0.74749096E-11 -0.42579253E-13  0.11967370E-11  
   88  0.39359761E-01  0.82670416E-18  0.16656056E-16 -0.74749096E-11  0.42947194E-13  0.13752389E-11  
   89  0.39881078E-01  0.10977547E-17  0.16168165E-16 -0.84412477E-11  0.80843406E-13  0.12417515E-11  
   90  0.40402395E-01  0.86736174E-18  0.18404332E-16 -0.81001872E-11  0.43379888E-13  0.15152722E-11  
   91  0.40923712E-01  0.11113072E-17  0.17821573E-16 -0.10516032E-10  0.77350434E-13  0.13628989E-11  
   92  0.41445029E-01  0.24394549E-18  0.20274581E-16 -0.10146550E-10 -0.53647887E-13  0.16645190E-11  
   93  0.41966346E-01  0.74538899E-18  0.18932880E-16 -0.10317081E-10  0.22484808E-13  0.13952763E-11  
   94  0.42487662E-01 -0.50144350E-18  0.21589176E-16 -0.10544454E-10 -0.16211349E-12  0.17270000E-11  
   95  0.43008979E-01  0.47433845E-18  0.21656938E-16 -0.11226575E-10 -0.11486844E-13  0.16640717E-11  
   96  0.43530296E-01 -0.43368087E-18  0.22700483E-16 -0.12335022E-10 -0.14486299E-12  0.17483514E-11  
   97  0.44051613E-01  0.13823578E-17  0.23716923E-16 -0.12903456E-10  0.12896014E-12  0.18258995E-11  
   98  0.44572930E-01  0.89446679E-18  0.25099280E-16 -0.12533974E-10  0.51691159E-13  0.19550292E-11  
   99  0.45094247E-01  0.13823578E-17  0.25614276E-16 -0.13159251E-10  0.12160737E-12  0.19517031E-11  
  100  0.45615564E-01  0.11926224E-17  0.26861109E-16 -0.12761348E-10  0.88702743E-13  0.20573680E-11  
