% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
   29  0.83964202E-02 -0.56441871E-15 -0.35936457E-14  0.43664983E-09 -0.24893148E-10 -0.10667230E-09  
   30  0.88706325E-02 -0.59036502E-15 -0.36938599E-14  0.43548454E-09 -0.25022200E-10 -0.10576316E-09  
   31  0.93448449E-02 -0.61648752E-15 -0.37894323E-14  0.43409898E-09 -0.25266469E-10 -0.10480910E-09  
   32  0.98190572E-02 -0.64088207E-15 -0.38822264E-14  0.43244341E-09 -0.25350669E-10 -0.10402970E-09  
   33  0.10293270E-01 -0.66462610E-15 -0.39706872E-14  0.43262816E-09 -0.25434238E-10 -0.10316167E-09  
   34  0.10767482E-01 -0.68807197E-15 -0.40567830E-14  0.43144865E-09 -0.25559813E-10 -0.10245224E-09  
   35  0.11241694E-01 -0.70999657E-15 -0.41387859E-14  0.43021231E-09 -0.25551868E-10 -0.10162174E-09  
   36  0.11715907E-01 -0.73260896E-15 -0.42194506E-14  0.42997783E-09 -0.25721794E-10 -0.10103441E-09  
   37  0.12190119E-01 -0.75342564E-15 -0.42963883E-14  0.42837200E-09 -0.25706767E-10 -0.10031503E-09  
   38  0.12664331E-01 -0.77228398E-15 -0.43700327E-14  0.42791015E-09 -0.25500293E-10 -0.99516702E-10  
   39  0.13138544E-01 -0.79340560E-15 -0.44430876E-14  0.42707171E-09 -0.25698201E-10 -0.99000012E-10  
   40  0.13612756E-01 -0.81251466E-15 -0.45142452E-14  0.42611248E-09 -0.25666451E-10 -0.98538726E-10  
   41  0.14086968E-01 -0.83193543E-15 -0.45826719E-14  0.42567194E-09 -0.25746133E-10 -0.97996784E-10  
   42  0.14561181E-01 -0.84972312E-15 -0.46490250E-14  0.42433612E-09 -0.25653976E-10 -0.97458717E-10  
   43  0.15035393E-01 -0.86824265E-15 -0.47136977E-14  0.42427928E-09 -0.25731810E-10 -0.96965177E-10  
   44  0.15509605E-01 -0.88347569E-15 -0.47765679E-14  0.42328452E-09 -0.25401754E-10 -0.96482481E-10  
   45  0.15983818E-01 -0.90190713E-15 -0.48371070E-14  0.42301451E-09 -0.25602512E-10 -0.95924279E-10  
   46  0.16458030E-01 -0.91851575E-15 -0.48959250E-14  0.42199133E-09 -0.25582165E-10 -0.95371536E-10  
   47  0.16932242E-01 -0.93385044E-15 -0.49535232E-14  0.42146553E-09 -0.25435115E-10 -0.94883520E-10  
   48  0.17406455E-01 -0.94854138E-15 -0.50112841E-14  0.42213344E-09 -0.25258300E-10 -0.94638901E-10  
   49  0.17880667E-01 -0.96580052E-15 -0.50651283E-14  0.42177817E-09 -0.25503183E-10 -0.94035126E-10  
   50  0.18354879E-01 -0.98022718E-15 -0.51193519E-14  0.41995918E-09 -0.25372602E-10 -0.93698647E-10  
   51  0.18829092E-01 -0.99586002E-15 -0.51727896E-14  0.42025761E-09 -0.25465253E-10 -0.93435317E-10  
   52  0.19303304E-01 -0.10101444E-14 -0.52245060E-14  0.42020076E-09 -0.25400667E-10 -0.93100201E-10  
   53  0.19777516E-01 -0.10236427E-14 -0.52736746E-14  0.41953285E-09 -0.25269311E-10 -0.92575403E-10  
   54  0.20251729E-01 -0.10380287E-14 -0.53224366E-14  0.41967496E-09 -0.25311771E-10 -0.92172416E-10  
   55  0.20725941E-01 -0.10513305E-14 -0.53706836E-14  0.41873705E-09 -0.25233491E-10 -0.91860212E-10  
   56  0.21200153E-01 -0.10631415E-14 -0.54170942E-14  0.41876547E-09 -0.24984401E-10 -0.91438487E-10  
   57  0.21674366E-01 -0.10761926E-14 -0.54638843E-14  0.41873705E-09 -0.24963995E-10 -0.91225140E-10  
   58  0.22148578E-01 -0.10900704E-14 -0.55085060E-14  0.41799808E-09 -0.25095263E-10 -0.90836976E-10  
   59  0.22622790E-01 -0.11049511E-14 -0.55504104E-14  0.41804071E-09 -0.25391529E-10 -0.90203430E-10  
   60  0.23097003E-01 -0.11170399E-14 -0.55958656E-14  0.41735859E-09 -0.25298669E-10 -0.90231960E-10  
   61  0.23571215E-01 -0.11275974E-14 -0.56380952E-14  0.41669068E-09 -0.25023134E-10 -0.89903378E-10  
   62  0.24045427E-01 -0.11388324E-14 -0.56802843E-14  0.41606540E-09 -0.24892265E-10 -0.89694250E-10  
   63  0.24519640E-01 -0.11513143E-14 -0.57198170E-14  0.41619330E-09 -0.24976535E-10 -0.89217828E-10  
   64  0.24993852E-01 -0.11622918E-14 -0.57612877E-14  0.41600856E-09 -0.24866053E-10 -0.89147151E-10  
   65  0.25468064E-01 -0.11733642E-14 -0.58003325E-14  0.41504222E-09 -0.24802383E-10 -0.88825423E-10  
   66  0.25942277E-01 -0.11839623E-14 -0.58387133E-14  0.41546855E-09 -0.24699717E-10 -0.88518924E-10  
   67  0.26416489E-01 -0.11963900E-14 -0.58776904E-14  0.41646331E-09 -0.24891162E-10 -0.88404762E-10  
   68  0.26890701E-01 -0.12058497E-14 -0.59137130E-14  0.41490011E-09 -0.24666586E-10 -0.87956463E-10  
   69  0.27364914E-01 -0.12190769E-14 -0.59500880E-14  0.41519854E-09 -0.25022126E-10 -0.87668515E-10  
   70  0.27839126E-01 -0.12289703E-14 -0.59870051E-14  0.41357850E-09 -0.24897023E-10 -0.87555502E-10  
   71  0.28313339E-01 -0.12369120E-14 -0.60224043E-14  0.41393378E-09 -0.24519503E-10 -0.87306778E-10  
   72  0.28787551E-01 -0.12468325E-14 -0.60571936E-14  0.41319481E-09 -0.24471682E-10 -0.87059245E-10  
   73  0.29261763E-01 -0.12598565E-14 -0.60931484E-14  0.41359272E-09 -0.24895973E-10 -0.87067224E-10  
   74  0.29735976E-01 -0.12655079E-14 -0.61267723E-14  0.41333692E-09 -0.24247921E-10 -0.86807480E-10  
   75  0.30210188E-01 -0.12798600E-14 -0.61576314E-14  0.41296744E-09 -0.24917340E-10 -0.86230460E-10  
   76  0.30684400E-01 -0.12899837E-14 -0.61919735E-14  0.41296744E-09 -0.24954234E-10 -0.86257688E-10  
   77  0.31158613E-01 -0.12968820E-14 -0.62213282E-14  0.41292481E-09 -0.24539585E-10 -0.85624008E-10  
   78  0.31632825E-01 -0.13071955E-14 -0.62539356E-14  0.41254111E-09 -0.24662009E-10 -0.85560522E-10  
   79  0.32107037E-01 -0.13139175E-14 -0.62850251E-14  0.41318060E-09 -0.24273233E-10 -0.85340705E-10  
   80  0.32581250E-01 -0.13255456E-14 -0.63175241E-14  0.41191583E-09 -0.24636015E-10 -0.85397005E-10  
   81  0.33055462E-01 -0.13326742E-14 -0.63475565E-14  0.41295323E-09 -0.24341046E-10 -0.85149042E-10  
   82  0.33529674E-01 -0.13461183E-14 -0.63734147E-14  0.41221426E-09 -0.24997582E-10 -0.84362680E-10  
   83  0.34003887E-01 -0.13521627E-14 -0.64029321E-14  0.41188741E-09 -0.24557282E-10 -0.84205446E-10  
   84  0.34478099E-01 -0.13610939E-14 -0.64336421E-14  0.41194426E-09 -0.24576349E-10 -0.84283331E-10  
   85  0.34952311E-01 -0.13666639E-14 -0.64621838E-14  0.41262638E-09 -0.24119184E-10 -0.84092671E-10  
   86  0.35426524E-01 -0.13760558E-14 -0.64900207E-14  0.41222847E-09 -0.24257805E-10 -0.83859426E-10  
   87  0.35900736E-01 -0.13849463E-14 -0.65176678E-14  0.41194426E-09 -0.24330430E-10 -0.83659538E-10  
   88  0.36374948E-01 -0.13909636E-14 -0.65477409E-14  0.41114845E-09 -0.23993484E-10 -0.83872276E-10  
   89  0.36849161E-01 -0.14006130E-14 -0.65733958E-14  0.41058001E-09 -0.24217832E-10 -0.83475540E-10  
   90  0.37323373E-01 -0.14092053E-14 -0.65994438E-14  0.40932946E-09 -0.24289847E-10 -0.83201627E-10  
   91  0.37797585E-01 -0.14140571E-14 -0.66250987E-14  0.41117687E-09 -0.23823850E-10 -0.82928211E-10  
   92  0.38271798E-01 -0.14258885E-14 -0.66504013E-14  0.41217163E-09 -0.24415049E-10 -0.82659961E-10  
   93  0.38746010E-01 -0.14305912E-14 -0.66792681E-14  0.41163162E-09 -0.23946104E-10 -0.82969399E-10  
   94  0.39220222E-01 -0.14372726E-14 -0.67017518E-14  0.40995474E-09 -0.23801384E-10 -0.82370271E-10  
   95  0.39694435E-01 -0.14504321E-14 -0.67283554E-14  0.40921577E-09 -0.24625467E-10 -0.82444103E-10  
   96  0.40168647E-01 -0.14519635E-14 -0.67508797E-14  0.40975578E-09 -0.23716949E-10 -0.81955771E-10  
   97  0.40642859E-01 -0.14639033E-14 -0.67771309E-14  0.40952841E-09 -0.24389403E-10 -0.82075841E-10  
   98  0.41117072E-01 -0.14698258E-14 -0.67994248E-14  0.40944315E-09 -0.24158891E-10 -0.81647326E-10  
   99  0.41591284E-01 -0.14763174E-14 -0.68248223E-14  0.40856207E-09 -0.24033354E-10 -0.81731320E-10  
  100  0.42065496E-01 -0.14793939E-14 -0.68506805E-14  0.40890313E-09 -0.23421953E-10 -0.81915890E-10  
